event_id,measure,position,variant,channel_mode,sample,source_start_ms,source_end_ms,duration_ms,fade_in_ms,fade_out_ms,timing_rule,timing_note
29,32,2+1/2-of-3,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-029-tenor-bass.mp3,85711.0,89877.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
30,32,3+1/2-of-3,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-030-soprano.mp3,86544.0,94461.333,7917.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
30,32,3+1/2-of-3,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-030-alto.mp3,86544.0,94461.333,7917.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
30,32,3+1/2-of-3,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-030-tenor-bass.mp3,86544.0,94461.333,7917.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
31,34,3-of-3,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-031-soprano.mp3,91128.0,95711.333,4583.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
31,34,3-of-3,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-031-alto.mp3,91128.0,95711.333,4583.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
31,34,3-of-3,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-031-tenor-bass.mp3,91128.0,95711.333,4583.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
32,35,1+1/2-of-3,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-032-soprano.mp3,92378.0,96127.333,3749.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
32,35,1+1/2-of-3,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-032-alto.mp3,92378.0,96127.333,3749.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
32,35,1+1/2-of-3,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-032-tenor-bass.mp3,92378.0,96127.333,3749.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
33,35,2-of-3,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-033-soprano.mp3,92794.0,98627.333,5833.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
